total_credit_utilized,installment,grade,state,issue_date,application_time,accounts,vector_feature,non_decimal_feature,sentence_feature,y
29507,98.09,B,CA,15-Mar-18,56:38.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":2,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":0,""total_cc"":2,""open_cc"":2,""mort"":0}","[8.41, 1.85, 3.13, 0.38, 4.19]",0b1011111110,ëª¨í„° ?¨ë„ ?ìŠ¹ ê²½ê³ ,0
15323,164.99,D,CT,14-Apr-18,09:23.4,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":1,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":4,""open_cc"":3,""mort"":0}","[5.1, 8.14, 1.45, 8.43, 8.03]",0b1011110010,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
2623,308.42,B,SC,01-Jan-18,42:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":3,""satisfactory"":5,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":15,""open_cc"":5,""mort"":0}","[8.44, 5.68, 3.83, 9.25, 5.6]",0b11001101,ë¶„ì„ ë³´ê³ ???ì„±??0,
121,742.45,B,NY,13-Feb-18,13:21.5,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":9,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":11,""open_cc"":9,""mort"":0}","[3.13, 1.27, 5.21, 7.89, 0.85]",0x136,?¼ì„œ ê°??•ìƒ ë²”ìœ„,0
134270,307.91,C,PA,02-Apr-18,44:08.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":18,""open_cc"":11,""mort"":0}","[9.08, 7.69, 8.19, 4.48, 9.78]",0b1101110101,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
64534,727.58,D,OH,14-Apr-18,44:08.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":5,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":9,""open_cc"":4,""mort"":1}","[0.95, 6.96, 5.36, 0.39, 3.92]",0x23e,ì´ˆê¸°???‘ì—… ì§„í–‰ ì¤?0,
31248,664.2,B,WA,31-Jan-18,50:11.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":0,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":5,""open_cc"":4,""mort"":0}","[5.39, 8.48, 0.35, 6.02, 8.34]",0b101101110,ë°°í„°ë¦??”ëŸ‰ ë¶€ì¡?0,
16232,649.21,B,TX,02-Apr-18,20:27.5,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":3,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":14,""open_cc"":11,""mort"":0}","[4.07, 5.69, 8.85, 0.59, 6.01]",0b1110110010,?¤íŠ¸?Œí¬ ?°ê²° ë¶ˆì•ˆ??0,
31919,593.96,B,NJ,03-Jan-18,07:22.1,"{""current_delinq"":0,""current_installment"":7,""opened_24m"":3,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":21,""open_cc"":5,""mort"":0}","[5.93, 0.29, 4.37, 9.66, 6.64]",0b101001100,ë°°í„°ë¦??”ëŸ‰ ë¶€ì¡?0,
37820,148.98,A,OR,06-Feb-18,08:01.9,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":2,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":12,""open_cc"":6,""mort"":0}","[6.97, 6.16, 6.73, 8.28, 6.26]",0x190,?°ì´??ì²˜ë¦¬ ?±ê³µ,0
22168,498.15,B,IN,01-Mar-18,18:01.9,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":18,""open_cc"":11,""mort"":0}","[2.39, 7.75, 3.24, 3.87, 5.77]",0x34e,?¬ìš©??ë¡œê·¸??ê¸°ë¡,0
63813,618.81,B,UT,15-Mar-18,08:01.9,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":2,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":2,""open_cc"":2,""mort"":0}","[0.14, 8.39, 8.35, 1.54, 8.61]",0x38b,?•ê¸° ?ê? ?„ë£Œ,0
28212,1072.21,C,CA,22-Apr-18,02:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":9,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":16,""open_cc"":9,""mort"":1}","[2.24, 2.76, 5.22, 8.77, 2.93]",0b111001000,?°ì´??ì²˜ë¦¬ ?±ê³µ,0
49575,266.82,B,KS,23-Mar-18,41:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":5,""open_cc"":3,""mort"":5}","[2.93, 3.16, 3.44, 6.07, 0.88]",0b110011111,ë°°í„°ë¦??”ëŸ‰ ë¶€ì¡?0,
40125,419.05,B,MI,17-Mar-18,47:22.1,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":2,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":27,""open_cc"":12,""mort"":2}","[0.58, 0.96, 8.67, 8.15, 5.96]",0b10100110,?¼ì„œ ê°??•ìƒ ë²”ìœ„,0
176223,232.79,A,TN,07-Jan-18,35:55.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":9,""open_cc"":5,""mort"":1}","[6.0, 4.43, 9.55, 9.94, 2.61]",0b11010011,ë°°í„°ë¦??”ëŸ‰ ë¶€ì¡?0,
16461,322.3,B,MA,25-Mar-18,59:43.3,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":13,""open_cc"":9,""mort"":0}","[9.38, 9.05, 2.31, 0.18, 8.14]",0x2c0,?°ì´??ì²˜ë¦¬ ?±ê³µ,0
95731,320.01,B,FL,25-Mar-18,45:52.8,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":5,""satisfactory"":18,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":7,""total_cc"":20,""open_cc"":16,""mort"":1}","[0.14, 8.98, 2.15, 3.2, 9.24]",0xe2,?¼ì„œ ê°??•ìƒ ë²”ìœ„,0
23769,1005.2,C,CA,29-Mar-18,50:11.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":5,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":12,""open_cc"":12,""mort"":0}","[2.75, 7.97, 3.99, 3.2, 7.23]",0b110111011,?°ì´??ì²˜ë¦¬ ?±ê³µ,1
30905,567.92,D,TN,12-Apr-18,01:58.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":4,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":5,""open_cc"":3,""mort"":1}","[2.26, 9.66, 1.86, 5.2, 0.03]",0b1010011011,?°ì´??ì²˜ë¦¬ ?±ê³µ,0
98301,793.08,C,TX,25-Feb-18,22:42.6,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":6,""satisfactory"":22,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":32,""open_cc"":19,""mort"":4}","[9.25, 3.04, 2.38, 7.38, 6.11]",0x1e7,?¤íŠ¸?Œí¬ ?°ê²° ë¶ˆì•ˆ??0,
57120,252.97,A,VA,19-Jan-18,22:42.6,"{""current_delinq"":0,""current_installment"":14,""opened_24m"":2,""satisfactory"":20,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":9,""open_cc"":5,""mort"":2}","[4.14, 3.5, 3.77, 1.74, 0.25]",0x391,?°ì´??ì²˜ë¦¬ ?±ê³µ,0
34697,276.68,C,CA,01-Jan-18,06:38.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":2,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":19,""open_cc"":13,""mort"":1}","[6.3, 0.8, 3.47, 7.99, 6.26]",0b1101100110,?¬ìš©??ë¡œê·¸??ê¸°ë¡,0
57832,699.3,C,OK,07-Mar-18,22:42.6,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":8,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":11,""open_cc"":9,""mort"":3}","[4.8, 6.39, 1.09, 6.68, 2.87]",0x2ee,?°ì´??ì²˜ë¦¬ ?±ê³µ,0
9424,939.68,A,GA,17-Mar-18,01:58.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":4,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":10,""open_cc"":7,""mort"":1}","[4.02, 9.3, 8.78, 8.61, 4.88]",0x29f,ë¶„ì„ ë³´ê³ ???ì„±??0,
51871,343.27,B,TX,18-Feb-18,07:22.1,"{""current_delinq"":0,""current_installment"":9,""opened_24m"":2,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":5,""open_cc"":5,""mort"":3}","[1.96, 0.46, 9.36, 3.0, 7.43]",0b1110011111,?°ì´??ì²˜ë¦¬ ?±ê³µ,0
48701,313.23,A,NY,31-Jan-18,07:22.1,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":6,""satisfactory"":17,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":17,""open_cc"":14,""mort"":1}","[0.68, 5.86, 9.08, 9.8, 6.2]",0x2ae,?¤íŠ¸?Œí¬ ?°ê²° ë¶ˆì•ˆ??0,
179947,285.74,C,CA,20-Apr-18,04:08.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":2,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":6,""open_cc"":3,""mort"":0}","[1.21, 7.92, 2.33, 8.03, 5.11]",0b1010110010,?¤íŠ¸?Œí¬ ?°ê²° ë¶ˆì•ˆ??0,
93875,676.36,C,OH,20-Apr-18,34:08.2,"{""current_delinq"":0,""current_installment"":7,""opened_24m"":9,""satisfactory"":23,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":8,""total_cc"":16,""open_cc"":15,""mort"":3}","[1.16, 4.61, 4.13, 6.07, 7.55]",0x1df,ëª¨í„° ?¨ë„ ?ìŠ¹ ê²½ê³ ,0
73196,1054.15,E,OH,27-Jan-18,50:11.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":3,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":19,""open_cc"":9,""mort"":0}","[0.43, 2.87, 7.16, 8.15, 9.69]",0b111100010,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
31505,1125.98,C,CA,23-Jan-18,40:27.5,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":4,""open_cc"":4,""mort"":0}","[9.27, 3.77, 7.85, 6.55, 4.13]",0x2f2,?¼ì„œ ê°??•ìƒ ë²”ìœ„,0
108496,860.35,E,TX,18-Feb-18,22:42.6,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":2,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":10,""open_cc"":9,""mort"":3}","[7.64, 5.61, 8.08, 4.99, 8.2]",0x138,ë¶„ì„ ë³´ê³ ???ì„±??0,
44325,1229.79,A,FL,11-Mar-18,46:38.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":5,""satisfactory"":8,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":22,""open_cc"":7,""mort"":2}","[4.37, 4.13, 0.23, 1.52, 2.28]",0x168,?¼ì„œ ê°??•ìƒ ë²”ìœ„,0
170423,1144.37,B,OR,16-Feb-18,28:01.9,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":5,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":16,""open_cc"":10,""mort"":4}","[1.66, 4.16, 6.29, 9.82, 5.25]",0x2cb,ëª¨í„° ?¨ë„ ?ìŠ¹ ê²½ê³ ,0
1581,1055.01,C,NY,15-Mar-18,19:43.3,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":0,""satisfactory"":3,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":7,""open_cc"":3,""mort"":1}","[2.14, 5.14, 5.22, 3.9, 7.78]",0b1101011000,?•ê¸° ?ê? ?„ë£Œ,0
44571,389.36,D,OH,15-Mar-18,16:38.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":6,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":9,""open_cc"":2,""mort"":5}","[8.32, 5.94, 8.15, 2.47, 4.24]",0x16b,ë°°í„°ë¦??”ëŸ‰ ë¶€ì¡?0,
27757,49.05,B,NY,21-Jan-18,46:38.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":12,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":30,""open_cc"":3,""mort"":0}","[8.64, 4.86, 5.47, 6.76, 3.01]",0x30a,ì´ˆê¸°???‘ì—… ì§„í–‰ ì¤?0,
49173,509.61,C,PA,08-Apr-18,59:43.3,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":6,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":9,""open_cc"":6,""mort"":2}","[0.11, 2.6, 4.8, 9.79, 6.89]",0b1110010100,?°ì´??ì²˜ë¦¬ ?±ê³µ,0
135640,1022.42,A,IN,01-Feb-18,42:42.6,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":25,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":15,""total_cc"":26,""open_cc"":22,""mort"":1}","[2.32, 6.01, 4.12, 2.94, 4.35]",0b1110101101,?°ì´??ì²˜ë¦¬ ?±ê³µ,0
24983,582.75,C,HI,10-Feb-18,02:42.6,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":7,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":16,""open_cc"":14,""mort"":0}","[4.47, 7.73, 6.59, 4.21, 7.26]",0x34d,?¬ìš©??ë¡œê·¸??ê¸°ë¡,0
5810,1066.04,A,SC,15-Mar-18,29:43.3,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":4,""satisfactory"":17,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":24,""open_cc"":16,""mort"":2}","[9.19, 0.82, 2.79, 0.33, 5.68]",0x3bc,ë°°í„°ë¦??”ëŸ‰ ë¶€ì¡?0,
5940,172.25,A,CA,13-Mar-18,51:58.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":5,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":3,""open_cc"":3,""mort"":0}","[4.89, 2.59, 3.65, 1.39, 8.61]",0b1000000111,?•ê¸° ?ê? ?„ë£Œ,0
81384,401.7,D,CO,02-Apr-18,25:52.8,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":18,""open_cc"":11,""mort"":2}","[6.06, 0.99, 4.74, 9.94, 1.24]",0b101110100,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
58176,297.31,D,TX,23-Feb-18,44:08.2,"{""current_delinq"":0,""current_installment"":13,""opened_24m"":2,""satisfactory"":18,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":4,""total_cc"":7,""open_cc"":5,""mort"":0}","[6.46, 3.52, 1.45, 0.19, 8.77]",0b1010000,?????†ëŠ” ?¤ë¥˜ ë°œìƒ,0
4709,487.26,A,VA,16-Apr-18,46:38.2,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":1,""satisfactory"":3,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":5,""open_cc"":3,""mort"":0}","[0.55, 6.05, 9.0, 0.78, 5.25]",0b1100111100,ëª¨í„° ?¨ë„ ?ìŠ¹ ê²½ê³ ,0
67707,108.72,C,OK,25-Mar-18,34:08.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":5,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":4,""open_cc"":2,""mort"":1}","[6.12, 0.44, 2.47, 2.11, 1.2]",0b1010011010,?°ì´??ì²˜ë¦¬ ?±ê³µ,0
65989,952.65,C,CT,31-Jan-18,48:01.9,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":3,""satisfactory"":10,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":7,""open_cc"":4,""mort"":1}","[8.22, 7.44, 9.78, 5.83, 8.6]",0x214,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,1
25,602.3,A,MA,15-Jan-18,37:22.1,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":7,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":11,""open_cc"":6,""mort"":3}","[0.88, 5.63, 5.71, 4.25, 9.49]",0xfa,ì´ˆê¸°???‘ì—… ì§„í–‰ ì¤?0,
59436,301.11,A,TX,27-Mar-18,44:08.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":2,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":6,""open_cc"":4,""mort"":3}","[8.15, 2.17, 9.51, 3.47, 7.78]",0b1001000110,?????†ëŠ” ?¤ë¥˜ ë°œìƒ,0
2621,502.12,D,MA,22-Apr-18,52:42.6,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":2,""satisfactory"":3,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":2,""open_cc"":2,""mort"":2}","[2.31, 7.71, 9.12, 6.34, 9.17]",0x39c,ë¶„ì„ ë³´ê³ ???ì„±??0,
45338,496.3,C,MN,17-Jan-18,33:13.3,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":3,""satisfactory"":15,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":5,""total_cc"":15,""open_cc"":11,""mort"":1}","[6.25, 2.28, 3.5, 8.41, 1.09]",0x259,?•ê¸° ?ê? ?„ë£Œ,0
57949,372.18,E,GA,06-Feb-18,52:42.6,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":10,""satisfactory"":14,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":10,""total_cc"":12,""open_cc"":12,""mort"":0}","[7.36, 5.92, 8.09, 8.91, 6.81]",0x2a2,?°ì´??ì²˜ë¦¬ ?±ê³µ,0
35495,871.54,D,CO,09-Feb-18,02:42.6,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":6,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":9,""open_cc"":4,""mort"":0}","[2.49, 8.55, 7.96, 7.4, 9.19]",0b1011000010,?¬ìš©??ë¡œê·¸??ê¸°ë¡,0
24179,407.69,C,TX,05-Mar-18,14:08.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":3,""satisfactory"":17,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":24,""open_cc"":16,""mort"":1}","[4.53, 6.93, 6.69, 1.51, 7.63]",0x2ab,?•ê¸° ?ê? ?„ë£Œ,0
122555,952.44,C,IL,19-Mar-18,19:43.3,"{""current_delinq"":0,""current_installment"":6,""opened_24m"":5,""satisfactory"":22,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":15,""open_cc"":13,""mort"":5}","[8.42, 5.23, 6.6, 4.98, 9.86]",0x3df,ë°°í„°ë¦??”ëŸ‰ ë¶€ì¡?0,
23762,376.01,B,CT,04-Feb-18,50:11.2,"{""current_delinq"":0,""current_installment"":6,""opened_24m"":4,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":6,""total_cc"":6,""open_cc"":6,""mort"":1}","[5.85, 4.47, 8.37, 6.44, 7.66]",0b10110011,?¬ìš©??ë¡œê·¸??ê¸°ë¡,0
62364,128.01,B,TX,22-Apr-18,35:55.2,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":7,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":3,""total_cc"":8,""open_cc"":4,""mort"":2}","[7.62, 3.49, 6.09, 8.14, 3.13]",0x256,ë¶„ì„ ë³´ê³ ???ì„±??0,
11591,355.75,B,NJ,20-Apr-18,10:27.5,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":9,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":10,""open_cc"":6,""mort"":6}","[2.91, 2.75, 1.39, 2.18, 2.5]",0x14f,ëª¨í„° ?¨ë„ ?ìŠ¹ ê²½ê³ ,0
117722,194.77,B,ID,22-Apr-18,50:11.2,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":10,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":13,""open_cc"":10,""mort"":2}","[2.2, 3.14, 0.13, 7.71, 6.47]",0b1110,ë¶„ì„ ë³´ê³ ???ì„±??0,
16896,248.15,C,MA,05-Mar-18,45:52.8,"{""current_delinq"":0,""current_installment"":2,""opened_24m"":3,""satisfactory"":12,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":18,""open_cc"":10,""mort"":0}","[4.37, 2.62, 0.42, 3.96, 3.75]",0b10010000,?œìŠ¤???…ë°?´íŠ¸ ?„ìš”,0
59643,160.03,B,IL,15-Feb-18,40:27.5,"{""current_delinq"":0,""current_installment"":11,""opened_24m"":5,""satisfactory"":20,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":8,""total_cc"":12,""open_cc"":9,""mort"":0}","[1.9, 7.78, 9.84, 7.56, 6.16]",0b1111100010,?????†ëŠ” ?¤ë¥˜ ë°œìƒ,0
70952,237.86,C,CO,14-Feb-18,29:43.3,"{""current_delinq"":0,""current_installment"":5,""opened_24m"":3,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":4,""open_cc"":3,""mort"":1}","[4.63, 2.77, 3.0, 5.05, 1.91]",0x34d,?????†ëŠ” ?¤ë¥˜ ë°œìƒ,1
24254,1503.89,G,FL,01-Mar-18,39:43.3,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":7,""satisfactory"":11,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":9,""total_cc"":14,""open_cc"":10,""mort"":2}","[3.61, 2.71, 5.72, 1.42, 9.03]",0x388,ëª¨í„° ?¨ë„ ?ìŠ¹ ê²½ê³ ,1
118058,889.92,D,CA,31-Jan-18,16:38.2,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":5,""satisfactory"":15,""120d_past_due"":null,""30d_past_due"":0,""active_debit"":3,""total_cc"":17,""open_cc"":9,""mort"":3}","[1.22, 5.96, 5.63, 6.24, 9.58]",0b11110000,ëª¨í„° ?¨ë„ ?ìŠ¹ ê²½ê³ ,0
26746,285.39,C,MO,07-Mar-18,46:38.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":1,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":11,""open_cc"":5,""mort"":2}","[2.45, 6.21, 5.0, 5.55, 8.22]",0b1010100010,ë°°í„°ë¦??”ëŸ‰ ë¶€ì¡?0,
83987,156.62,A,CA,15-Feb-18,22:42.6,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":13,""satisfactory"":21,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":24,""open_cc"":17,""mort"":2}","[2.67, 2.87, 1.76, 4.27, 3.11]",0b1011100101,?•ê¸° ?ê? ?„ë£Œ,0
14068,922.48,A,TX,19-Mar-18,16:38.2,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":2,""satisfactory"":5,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":5,""open_cc"":4,""mort"":0}","[7.71, 7.77, 6.24, 0.54, 9.19]",0x1b1,?°ì´??ì²˜ë¦¬ ?±ê³µ,0
21716,322.3,B,CA,29-Mar-18,08:01.9,"{""current_delinq"":0,""current_installment"":8,""opened_24m"":3,""satisfactory"":16,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":5,""total_cc"":13,""open_cc"":8,""mort"":0}","[7.91, 4.51, 8.64, 0.85, 2.09]",0b1001100,?¬ìš©??ë¡œê·¸??ê¸°ë¡,0
23806,98.08,B,NY,05-Mar-18,49:43.3,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":5,""satisfactory"":13,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":12,""open_cc"":10,""mort"":0}","[0.93, 0.21, 6.78, 1.04, 2.07]",0x1ad,?¤íŠ¸?Œí¬ ?°ê²° ë¶ˆì•ˆ??0,
39641,280.47,D,WI,07-Mar-18,50:11.2,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":4,""satisfactory"":5,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":0,""total_cc"":9,""open_cc"":2,""mort"":4}","[3.5, 9.47, 5.63, 5.37, 4.77]",0x351,?¬ìš©??ë¡œê·¸??ê¸°ë¡,0
17813,326.92,B,MO,09-Feb-18,47:22.1,"{""current_delinq"":0,""current_installment"":3,""opened_24m"":2,""satisfactory"":9,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":8,""open_cc"":6,""mort"":3}","[5.81, 4.47, 9.7, 9.89, 7.17]",0x6b,ë¶„ì„ ë³´ê³ ???ì„±??0,
2243,409.7,A,MD,21-Jan-18,40:27.5,"{""current_delinq"":0,""current_installment"":0,""opened_24m"":1,""satisfactory"":1,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":1,""total_cc"":2,""open_cc"":1,""mort"":0}","[3.37, 7.19, 4.69, 1.97, 2.81]",0x3a6,?¬ìš©??ë¡œê·¸??ê¸°ë¡,0
8252,166.05,B,NY,23-Jan-18,55:47.4,"{""current_delinq"":0,""current_installment"":1,""opened_24m"":4,""satisfactory"":11,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":3,""total_cc"":23,""open_cc"":10,""mort"":0}","[1.25, 9.69, 8.25, 1.57, 7.2]",0b1010100000,ë¶„ì„ ë³´ê³ ???ì„±??0,
60884,313.18,A,GA,10-Apr-18,51:58.2,"{""current_delinq"":0,""current_installment"":4,""opened_24m"":4,""satisfactory"":15,""120d_past_due"":0,""30d_past_due"":0,""active_debit"":2,""total_cc"":9,""open_cc"":9,""mort"":4}","[4.89, 4.97, 2.17, 6.49, 6.95]",0x114,?¬ìš©??ë¡œê·¸??ê¸°ë¡,0
